time,gForce,event
18922,1.08,stat
18941,1.09,stat
18960,1.08,stat
18979,1.08,stat
18998,1.07,stat
19017,1.08,stat
19036,1.08,stat
19055,1.09,stat
19074,1.08,stat
19093,1.07,stat
19112,1.07,stat
19131,1.08,stat
19150,1.07,stat
19169,1.08,stat
19196,1.08,stat
19215,1.09,stat
19234,1.08,stat
19253,1.08,stat
19272,1.08,stat
19291,1.08,stat
19310,1.07,stat
19329,1.08,stat
19348,1.07,stat
19367,1.09,stat
19386,1.08,stat
19405,1.08,stat
19424,1.07,stat
19443,1.08,stat
19462,1.08,stat
19481,1.07,stat
19500,1.07,stat
19519,1.07,stat
19538,1.07,stat
19557,1.07,stat
19576,1.08,stat
19595,1.08,stat
19614,1.09,stat
19633,1.08,stat
19652,1.08,stat
19671,1.08,stat
19690,1.07,stat
19709,1.07,stat
19728,1.07,stat
19747,1.08,stat
19786,1.07,stat
19808,1.08,stat
19830,1.08,stat
19852,1.07,stat
19874,1.07,stat
19896,1.07,stat
19918,1.08,stat
19940,1.08,stat
19962,1.06,stat
19984,1.08,stat
20006,1.07,stat
20048,1.08,stat
20070,1.08,stat
20092,1.08,stat
20114,1.08,stat
20136,1.08,stat
20158,1.07,stat
20180,1.08,stat
20202,1.08,stat
20224,1.08,stat
20246,1.08,stat
20268,1.07,stat
20290,1.08,stat
20312,1.07,stat
20334,1.07,stat
20356,1.08,stat
20378,1.07,stat
20400,1.08,stat
20422,1.07,stat
20444,1.08,stat
20469,1.08,stat
20491,1.08,stat
20513,1.08,stat
20535,1.08,stat
20557,1.08,stat
20579,1.07,stat
20601,1.07,stat
20623,1.08,stat
20645,1.07,stat
20667,1.08,stat
20689,1.08,stat
20711,1.08,stat
20733,1.08,stat
